,Open (USD),High (USD),Low (USD),Close (USD),Volume,Market Cap (USD),SMA,EMA,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK
2019-01-19,3594.87000000,3720.00000000,3594.23000000,3665.30000000,22171.57812300,22171.57812300,3690.8962,3684.5766,47.0236,3363.3955,3673.4457,6773.9477,-61.2393,-5.5727,-55.6666,25.9650,29.3015
2019-01-20,3665.75000000,3693.73000000,3475.00000000,3539.28000000,27901.93859800,27901.93859800,3677.8814,3670.7388,42.5033,3335.6646,3655.9120,6858.3852,-65.5940,-7.9419,-57.6521,26.6428,25.2214
2019-01-21,3539.26000000,3559.51000000,3475.50000000,3526.90000000,19644.43683900,19644.43683900,3665.1992,3657.0399,42.0753,3309.9891,3637.9783,6917.8705,-69.2459,-9.2750,-59.9709,25.3798,21.6165
2019-01-22,3526.88000000,3608.50000000,3434.85000000,3570.93000000,29336.44296700,29336.44296700,3658.9376,3648.8389,44.2260,3301.1058,3625.5249,6869.7155,-67.8056,-6.2678,-61.5378,21.5017,17.6670
2019-01-23,3570.41000000,3607.98000000,3514.50000000,3552.82000000,24938.84269800,24938.84269800,3650.9612,3639.6943,43.5104,3285.3873,3612.7164,6886.0069,-67.3491,-4.6490,-62.7001,19.5872,19.4780
2019-01-24,3552.97000000,3589.00000000,3529.22000000,3569.62000000,20826.25118000,20826.25118000,3646.9568,3633.0205,44.4090,3276.5270,3602.5267,6862.5238,-64.8837,-1.7469,-63.1368,22.6125,30.6924
2019-01-25,3569.07000000,3587.15000000,3522.51000000,3565.29000000,17608.34667100,17608.34667100,3648.0876,3626.5700,44.2138,3267.9664,3592.9837,6843.1559,-62.5582,0.4629,-63.0211,29.3935,38.0099
2019-01-26,3566.69000000,3662.94000000,3545.00000000,3565.25000000,19476.53234400,19476.53234400,3651.3216,3620.7300,44.2119,3295.6705,3584.4162,6471.8733,-60.0265,2.3957,-62.4222,38.3161,46.2458
2019-01-27,3565.62000000,3579.00000000,3486.00000000,3550.84000000,22735.59816200,22735.59816200,3654.1198,3614.0738,43.4743,3332.2497,3576.4875,6018.8655,-58.5084,3.1310,-61.6394,42.7687,44.0505
2019-01-28,3550.05000000,3557.75000000,3380.27000000,3434.15000000,40405.11140100,40405.11140100,3651.8954,3596.9382,37.9528,3359.7284,3559.4675,5556.8584,-65.9608,-3.4571,-62.5037,41.4618,34.0889
2019-01-29,3434.00000000,3443.45000000,3349.92000000,3411.04000000,29544.92897700,29544.92897700,3651.4586,3579.2336,36.9518,3423.8478,3542.7273,4731.5228,-72.8915,-8.3102,-64.5812,34.1633,24.3506
2019-01-30,3410.04000000,3478.00000000,3387.10000000,3458.18000000,23968.26024300,23968.26024300,3653.0144,3567.7047,40.4045,3407.1888,3533.1225,4792.4590,-73.7303,-7.3193,-66.4111,26.3274,20.5427
2019-01-31,3457.50000000,3489.20000000,3418.80000000,3434.10000000,29607.19025300,29607.19025300,3652.7964,3554.9805,39.2229,3387.9791,3521.8324,4860.3647,-75.4683,-7.2458,-68.2225,22.5772,22.8383
2019-02-01,3434.10000000,3488.00000000,3401.20000000,3462.07000000,25260.47615900,25260.47615900,3655.9966,3546.1318,41.3678,3376.8155,3514.0023,4885.8708,-73.7386,-4.4129,-69.3257,23.6052,27.4346
2019-02-02,3462.20000000,3526.40000000,3440.29000000,3504.77000000,17920.80200000,17920.80200000,3661.6086,3542.1926,44.5831,3375.6052,3510.8154,4862.9181,-68.1369,0.9511,-69.0880,27.6565,32.6967
2019-02-03,3504.06000000,3511.09000000,3426.00000000,3458.11000000,19867.33639000,19867.33639000,3666.5364,3534.1847,41.8804,3369.5086,3503.0516,4838.4808,-66.6937,1.9154,-68.6091,32.2557,36.6357
2019-02-04,3458.11000000,3484.88000000,3433.31000000,3463.22000000,23131.98110800,23131.98110800,3671.2274,3527.4262,42.2930,3360.2555,3496.5743,4859.7624,-64.3954,3.3710,-67.7664,35.9773,38.5995
2019-02-05,3463.22000000,3478.97000000,3448.43000000,3471.59000000,25264.41503000,25264.41503000,3670.4776,3522.1085,43.0067,3356.4187,3491.3220,4840.3548,-61.1932,5.2586,-66.4517,37.2594,36.5429
2019-02-06,3471.57000000,3482.72000000,3380.00000000,3405.37000000,35310.24484600,35310.24484600,3665.5254,3510.9905,38.9069,3343.9816,3480.3356,4843.8753,-63.2694,2.5458,-65.8153,35.3564,30.9267
2019-02-07,3407.00000000,3426.45000000,3390.00000000,3398.40000000,18665.53863800,18665.53863800,3660.2490,3500.2676,38.4910,3330.8684,3469.6894,4857.8994,-64.7311,0.8673,-65.5984,30.4979,24.0240
2019-02-08,3398.40000000,3733.58000000,3373.10000000,3659.04000000,47968.05801300,47968.05801300,3652.4374,3515.3888,57.0018,3347.4491,3484.8016,4858.3266,-44.3469,17.0013,-61.3481,30.9584,37.9246
2019-02-09,3660.27000000,3680.02000000,3625.13000000,3665.18000000,24759.83371900,24759.83371900,3648.9678,3529.6546,57.3276,3346.0841,3500.5284,5044.9721,-27.3811,27.1736,-54.5547,40.4530,59.4103
2019-02-10,3665.18000000,3684.99000000,3609.76000000,3680.06000000,23250.60263400,23250.60263400,3643.5908,3543.9789,58.1551,3345.1152,3517.0729,5236.6499,-12.5898,33.5719,-46.1617,60.0886,82.9311
2019-02-11,3679.75000000,3684.90000000,3615.53000000,3631.05000000,24954.61457100,24954.61457100,3637.6176,3552.2714,54.4125,3350.3856,3528.2203,5306.5681,-4.7673,33.1155,-37.8829,74.2802,80.4992
2019-02-12,3631.05000000,3667.60000000,3582.34000000,3631.46000000,29479.59823000,29479.59823000,3630.0866,3559.8132,54.4389,3354.9285,3539.1206,5381.0417,1.4484,31.4650,-30.0166,80.1431,76.9990
2019-02-13,3631.51000000,3670.00000000,3591.75000000,3609.40000000,25773.99764800,25773.99764800,3627.3588,3564.5357,52.6705,3360.4572,3547.5454,5418.4276,4.5420,27.6469,-23.1049,75.8881,70.1661
2019-02-14,3608.34000000,3626.40000000,3568.11000000,3590.56000000,21753.50126100,21753.50126100,3623.6152,3567.0142,51.1424,3365.4354,3553.9865,5439.4976,5.4111,22.8128,-17.4017,71.0048,65.8492
2019-02-15,3590.57000000,3653.23000000,3573.45000000,3602.47000000,20777.87289900,20777.87289900,3624.3064,3570.3910,52.0887,3370.5855,3561.4415,5470.0013,6.9805,19.5057,-12.5252,66.3946,63.1686
2019-02-16,3602.49000000,3648.20000000,3597.91000000,3618.41000000,19565.99275100,19565.99275100,3619.8894,3574.9642,53.3898,3375.3954,3570.2374,5518.6581,9.4020,17.5418,-8.1398,64.3398,64.0017
2019-02-17,3617.22000000,3700.11000000,3604.40000000,3667.58000000,25690.22777900,25690.22777900,3619.3346,3583.7848,57.2468,3384.8502,3583.3944,5568.8371,15.1145,18.6034,-3.4889,66.0980,71.1237
2019-02-18,3667.62000000,3925.00000000,3655.00000000,3898.60000000,64042.73049200,64042.73049200,3621.2684,3613.7672,69.8646,3374.0897,3617.4418,6050.9623,37.8468,33.0686,4.7782,72.2594,81.6528
2019-02-19,3897.35000000,3994.52000000,3856.00000000,3907.79000000,50207.17266700,50207.17266700,3625.3662,3641.7694,70.2408,3370.1656,3650.0426,6448.8123,55.9588,40.9445,15.0143,80.1423,87.6503
2019-02-20,3907.35000000,3986.98000000,3870.66000000,3969.74000000,36205.14085000,36205.14085000,3628.8182,3673.0047,72.7140,3370.3672,3686.4025,6846.7555,74.4533,47.5512,26.9021,87.2424,92.4240
2019-02-21,3969.74000000,4016.48000000,3901.03000000,3937.31000000,31103.88472800,31103.88472800,3630.3932,3698.1766,69.4597,3379.8283,3717.1231,7090.0709,85.5078,46.8845,38.6233,89.9970,89.9168
2019-02-22,3937.31000000,3988.00000000,3926.65000000,3962.00000000,23943.16375000,23943.16375000,3634.2976,3723.3026,70.5407,3388.7248,3747.9321,7340.0050,95.1639,45.2325,49.9314,90.9532,90.5188
2019-02-23,3962.00000000,4162.02000000,3933.15000000,4117.76000000,33657.94288300,33657.94288300,3640.8126,3760.8700,76.2516,3393.8120,3791.3981,7767.2594,114.0700,51.3109,62.7591,89.9331,89.3639
2019-02-24,4118.00000000,4198.00000000,3712.66000000,3743.56000000,62224.18689000,62224.18689000,3640.2646,3759.2214,50.7819,3412.5630,3796.0848,7631.3031,97.7318,27.9781,69.7536,83.0999,69.4170
2019-02-25,3743.56000000,3872.66000000,3740.00000000,3827.92000000,38102.96624500,38102.96624500,3637.0710,3765.7641,54.4739,3436.7078,3807.4709,7515.1017,90.5470,16.6347,73.9123,70.8879,53.8829
2019-02-26,3828.44000000,3841.51000000,3777.00000000,3809.23000000,28838.74803600,28838.74803600,3633.7466,3769.9038,53.5161,3473.8696,3815.3801,7230.4848,82.3951,6.7863,75.6089,53.0312,35.7936
2019-02-27,3809.31000000,3838.85000000,3677.17000000,3818.07000000,31500.99546600,31500.99546600,3631.0054,3774.4910,53.9287,3519.4232,3822.2081,6850.0575,75.7745,0.1325,75.6420,43.1377,39.7366
2019-02-28,3818.04000000,3888.00000000,3763.87000000,3813.69000000,32561.96104400,32561.96104400,3627.9462,3778.2243,53.6745,3527.4179,3826.6205,6818.6471,69.3745,-5.0140,74.3885,38.1133,38.8096
2019-03-01,3814.26000000,3857.00000000,3813.01000000,3823.00000000,23174.57217000,23174.57217000,3632.6886,3782.4886,54.1690,3535.6903,3831.1832,6786.1124,64.3124,-8.0609,72.3733,39.0330,38.5529
2019-03-02,3822.17000000,3841.31000000,3772.25000000,3819.93000000,19445.83835500,19445.83835500,3637.0610,3786.0545,53.9644,3542.6834,3834.7020,6754.8872,59.3685,-10.4039,69.7723,38.2635,37.4281
2019-03-03,3819.97000000,3835.00000000,3781.32000000,3807.75000000,16718.16541000,16718.16541000,3641.5534,3788.1207,53.1074,3553.5975,3836.3947,6664.3664,53.8469,-12.7404,66.5872,36.6547,33.9830
2019-03-04,3807.32000000,3830.00000000,3670.69000000,3715.30000000,34742.84166000,34742.84166000,3646.3232,3781.1854,47.0057,3553.3094,3828.4412,6579.7587,41.5322,-20.0440,61.5762,31.9037,24.2999
2019-03-05,3716.10000000,3877.10000000,3703.55000000,3857.73000000,32962.53616200,32962.53616200,3650.9560,3788.4754,55.4903,3572.5338,3833.6532,6444.8471,42.7727,-15.0428,57.8155,27.4344,24.0204
2019-03-06,3857.58000000,3907.00000000,3813.09000000,3861.84000000,24775.11883000,24775.11883000,3657.1316,3795.4625,55.7107,3597.7287,3838.0742,6241.5294,43.5850,-11.3845,54.9694,25.0157,26.7268
2019-03-07,3861.84000000,3905.40000000,3840.40000000,3873.64000000,26455.25766100,26455.25766100,3662.7676,3802.9079,56.3784,3625.1458,3842.3271,6014.1409,44.6660,-8.2427,52.9087,29.1611,36.7361
2019-03-08,3873.63000000,3932.00000000,3800.00000000,3864.89000000,34730.36659200,34730.36659200,3667.7412,3808.8110,55.7077,3653.1102,3844.4555,5757.9087,44.3059,-6.8823,51.1882,33.5506,37.1888
2019-03-09,3864.88000000,3971.75000000,3854.75000000,3943.04000000,30979.74765300,30979.74765300,3674.7046,3821.5947,60.2555,3678.5144,3852.8530,5596.2380,49.7531,-1.1481,50.9011,38.7489,42.3217
2019-03-10,3943.43000000,3943.43000000,3881.69000000,3916.82000000,23187.56141200,23187.56141200,3679.7350,3830.6638,58.1001,3682.2978,3857.4416,5608.8793,51.3622,0.3688,50.9933,45.4181,56.7439
2019-03-11,3915.99000000,3936.98000000,3830.00000000,3871.61000000,38066.88570500,38066.88570500,3686.3816,3834.5634,54.4812,3683.3659,3857.6377,5600.3554,48.4311,-2.0498,50.4809,55.2598,66.7136
2019-03-12,3871.61000000,3905.20000000,3826.06000000,3882.73000000,26921.00862200,26921.00862200,3693.4982,3839.1507,55.2200,3690.9607,3859.0652,5540.1105,46.4698,-3.2089,49.6787,65.4773,72.9744
2019-03-13,3882.69000000,3893.56000000,3840.00000000,3866.00000000,24461.00875700,24461.00875700,3699.3996,3841.7078,53.8051,3694.6418,3859.3137,5506.0328,43.0690,-5.2878,48.3567,69.0119,67.3476
2019-03-14,3866.00000000,3920.00000000,3810.43000000,3877.12000000,27048.74853000,27048.74853000,3705.8856,3845.0804,54.6371,3702.7941,3860.9608,5442.6272,40.8008,-6.0448,46.8455,69.4265,67.9577
2019-03-15,3877.12000000,3939.22000000,3872.20000000,3923.76000000,21740.06149800,21740.06149800,3712.9684,3852.5737,58.0499,3758.7227,3867.4540,4954.7661,42.2793,-3.6530,45.9323,69.2686,72.5005
2019-03-16,3924.46000000,4056.98000000,3921.98000000,4005.98000000,28568.37612400,28568.37612400,3721.7822,3867.1838,63.2928,3763.6796,3882.7014,5072.9200,49.5147,2.8660,46.6488,73.4221,79.8083
2019-03-17,4005.98000000,4012.00000000,3950.01000000,3981.14000000,18814.25557700,18814.25557700,3730.1000,3878.0368,60.8197,3765.0211,3894.3336,5187.4588,52.6377,4.7912,47.8466,78.6834,83.7414
2019-03-18,3981.85000000,4037.00000000,3953.33000000,3987.81000000,22454.47801000,22454.47801000,3738.8394,3888.4914,61.2575,3769.2024,3905.8713,5272.5605,55.0167,5.7361,49.2806,82.0270,82.5312
2019-03-19,3987.83000000,4031.00000000,3970.00000000,4015.53000000,19893.74181500,19893.74181500,3750.4670,3900.5903,63.1026,3772.4226,3919.1987,5386.9596,58.4649,7.3475,51.1175,82.6093,81.5555
2019-03-20,4017.48000000,4050.00000000,3980.50000000,4043.04000000,23432.30025500,23432.30025500,3763.1070,3914.1569,64.8896,3776.2412,3934.2058,5513.8516,62.6948,9.2618,53.4329,83.4594,86.2916
2019-03-21,4043.04000000,4069.32000000,3880.01000000,3980.64000000,35997.68211900,35997.68211900,3773.5562,3920.4886,58.0247,3784.0246,3942.1779,5523.7107,60.3165,5.5069,54.8096,83.2288,81.8395
2019-03-22,3980.85000000,4008.00000000,3968.25000000,3986.93000000,20022.60631800,20022.60631800,3784.6128,3926.8164,58.5013,3793.0237,3949.9984,5519.7452,58.2676,2.7664,55.5012,81.5797,76.6079
2019-03-23,3987.89000000,4018.83000000,3978.01000000,4006.01000000,17302.60431800,17302.60431800,3795.4916,3934.3586,59.9854,3804.7319,3958.8408,5499.9298,57.5203,1.6153,55.9050,76.2373,70.2646
2019-03-24,4006.01000000,4006.02000000,3950.00000000,3992.18000000,17179.85064800,17179.85064800,3805.2398,3939.8654,58.3563,3841.7142,3965.4219,5202.4994,55.1761,-0.5831,55.7593,72.7269,71.3083
2019-03-25,3991.35000000,3999.30000000,3888.71000000,3936.12000000,33192.89021700,33192.89021700,3814.8000,3939.5087,52.1709,3847.0746,3965.3455,5148.0548,48.2387,-6.0164,54.2551,68.7797,64.7662
2019-03-26,3935.47000000,3958.98000000,3894.00000000,3948.55000000,29349.53762700,29349.53762700,3824.5066,3940.3698,53.3515,3853.4899,3966.0797,5091.9776,43.2452,-8.8079,52.0532,64.4808,57.3680
2019-03-27,3948.77000000,4048.00000000,3936.15000000,4038.05000000,32364.55585200,32364.55585200,3835.8358,3949.6727,60.8460,3860.4357,3974.9247,5119.8145,45.9797,-4.8587,50.8385,61.8027,63.2740
2019-03-28,4039.58000000,4039.70000000,4002.00000000,4027.81000000,20089.29387500,20089.29387500,3848.2846,3957.1143,59.6649,3870.7326,3982.0116,5094.8020,46.7813,-3.2457,50.0270,64.6822,73.4047
2019-03-29,4028.22000000,4123.71000000,4024.03000000,4103.25000000,30084.21744400,30084.21744400,3862.3816,3971.0320,65.0477,3868.7241,3995.5075,5263.3412,52.8942,2.2937,50.6005,74.2782,86.1559
2019-03-30,4104.24000000,4140.00000000,4052.00000000,4106.97000000,19509.29260100,19509.29260100,3871.3402,3983.9785,65.2937,3870.9978,4008.5947,5384.5638,57.3775,5.4216,51.9559,81.8360,85.9473
2019-03-31,4106.99000000,4116.12000000,4082.57000000,4103.95000000,13525.08743300,13525.08743300,3880.1156,3995.4043,64.8944,3881.9127,4020.4889,5406.2505,59.9952,6.4315,53.5638,86.8160,88.3447
2019-04-01,4102.44000000,4158.70000000,4067.00000000,4144.56000000,25507.06764100,25507.06764100,3889.4056,4009.6096,67.7501,3890.4959,4035.1442,5481.6272,64.6020,8.8306,55.7714,87.9147,89.4520
2019-04-02,4144.54000000,4897.99000000,4140.54000000,4857.29000000,105383.63926300,105383.63926300,3913.9304,4090.3411,87.2906,3725.2801,4116.4319,8027.9499,124.3311,54.8477,69.4833,90.0503,92.3541
2019-04-03,4857.19000000,5275.01000000,4753.50000000,4932.60000000,109890.12574300,109890.12574300,3939.9532,4170.5562,88.1104,3661.4038,4200.1714,9587.8482,175.7181,84.9878,90.7303,90.2001,88.7942
2019-04-04,4932.59000000,5039.08000000,4777.00000000,4898.66000000,61054.25416800,61054.25416800,3965.7384,4239.8995,85.4359,3643.3997,4275.6525,10598.1812,211.2686,96.4307,114.8380,87.5282,81.4362
2019-04-05,4898.64000000,5028.22000000,4880.62000000,5004.95000000,39768.55280600,39768.55280600,3994.0262,4312.7614,86.7884,3628.6962,4356.6141,11635.7928,245.1930,104.2840,140.9090,82.1686,76.2753
2019-04-06,5004.96000000,5205.00000000,4928.59000000,5043.89000000,41770.84231300,41770.84231300,4022.8546,4382.3927,87.2553,3630.6868,4436.5272,12494.9318,272.0840,104.9400,167.1440,78.8705,78.8999
2019-04-07,5042.07000000,5234.00000000,5026.00000000,5170.27000000,37615.48680400,37615.48680400,4053.8918,4457.4286,88.6566,3636.1323,4523.4159,13396.2515,300.1334,106.3915,193.7418,80.2020,85.4308
2019-04-08,5170.27000000,5305.00000000,5039.00000000,5236.90000000,50178.43078200,50178.43078200,4085.2782,4531.6640,89.3231,3650.0873,4611.0194,14220.3405,324.0043,104.2099,219.7943,84.8821,90.3155
2019-04-09,5238.38000000,5238.40000000,5076.68000000,5150.00000000,34067.01231100,34067.01231100,4110.3062,4590.5531,82.5133,3680.6204,4684.5308,14723.6347,332.0820,89.8301,242.2519,89.2815,92.0983
2019-04-10,5150.00000000,5422.00000000,5135.00000000,5308.25000000,40073.62047100,40073.62047100,4138.3154,4658.9052,84.7878,3717.9648,4767.8423,15266.6175,347.2502,83.9987,263.2515,91.4535,91.9466
2019-04-11,5307.86000000,5332.67000000,4927.00000000,5017.37000000,54696.60068600,54696.60068600,4159.2680,4693.0447,67.4275,3771.8688,4817.1290,15269.7308,331.9727,54.9770,276.9958,89.3174,83.9073
2019-04-12,5017.37000000,5080.58000000,4861.22000000,5048.01000000,33276.67861400,33276.67861400,4181.4820,4726.8509,68.1668,3829.2684,4864.4270,15216.0121,318.6643,33.3348,285.3295,84.8120,78.5823
2019-04-13,5047.00000000,5099.00000000,5004.00000000,5045.22000000,17292.45680200,17292.45680200,4203.1464,4757.1718,68.0155,3894.1965,4906.4973,15029.5052,304.3834,15.2431,289.1403,78.1577,71.9836
2019-04-14,5047.45000000,5152.99000000,5000.00000000,5131.30000000,18281.60773900,18281.60773900,4223.4172,4792.8031,70.2136,3976.0765,4951.7512,14708.4981,296.5927,5.9619,290.6307,75.0154,74.4803
2019-04-15,5131.28000000,5167.38000000,4950.00000000,5024.95000000,29057.19158100,29057.19158100,4249.0450,4814.9123,64.3312,4063.7458,4981.1853,14155.5797,278.6251,-9.6045,288.2296,73.2385,73.2518
2019-04-16,5024.95000000,5197.72000000,5003.94000000,5173.72000000,24242.22949300,24242.22949300,4275.9610,4849.0845,68.3285,4151.1139,5019.6622,13705.1448,273.2404,-11.9914,285.2318,72.6243,70.1407
2019-04-17,5173.72000000,5230.40000000,5146.80000000,5202.82000000,23307.53613400,23307.53613400,4303.8328,4882.7736,69.0589,4254.6819,5055.5026,13063.7089,268.2291,-13.6021,281.8312,69.7858,65.9648
2019-04-18,5202.41000000,5287.00000000,5198.80000000,5258.44000000,22619.23900100,22619.23900100,4332.6402,4918.5513,70.4611,4360.6203,5091.0448,12395.2903,265.6831,-12.9185,278.6016,67.5588,66.5707
2019-04-19,5258.44000000,5320.00000000,5175.00000000,5258.68000000,24611.23632300,24611.23632300,4361.5400,4950.9445,70.4673,4488.3417,5121.1090,11448.7818,260.6798,-14.3375,275.0172,67.2595,69.2428
2019-04-20,5258.68000000,5333.42000000,5230.10000000,5291.73000000,19168.90827400,19168.90827400,4390.9146,4983.4003,71.3616,4656.4491,5148.8365,10072.7104,256.4256,-14.8733,271.2989,69.5467,72.8265
2019-04-21,5292.91000000,5314.35000000,5165.00000000,5256.14000000,25549.57093900,25549.57093900,4419.6388,5009.3755,68.9407,4902.5919,5167.5183,7816.7827,247.3312,-19.1742,266.5054,71.5864,72.6898
2019-04-22,5257.41000000,5400.00000000,5208.35000000,5357.14000000,29563.85230900,29563.85230900,4450.6266,5042.4959,71.8583,4933.5841,5190.5260,7759.9446,245.4443,-16.8488,262.2932,74.6863,78.5424
2019-04-23,5357.14000000,5600.00000000,5332.41000000,5493.31000000,41262.10391700,41262.10391700,4486.1868,5085.4306,75.2359,4942.8499,5224.1220,8036.8431,252.0315,-8.2093,260.2408,77.5681,81.4720
2019-04-24,5490.91000000,5582.20000000,5333.35000000,5415.00000000,48224.15241300,48224.15241300,4517.3322,5116.8182,70.0304,4975.5245,5247.5899,7968.2438,248.0733,-9.7340,257.8073,80.9994,82.9838
2019-04-25,5415.00000000,5491.84000000,5102.00000000,5219.90000000,49636.08994800,49636.08994800,4544.4934,5126.6355,59.0657,4992.1247,5250.0180,7828.9509,226.5815,-24.9806,251.5622,78.0483,69.6892
2019-04-26,5220.47000000,5510.00000000,5161.62000000,5314.10000000,48912.29451300,48912.29451300,4573.3026,5144.4892,62.1474,5009.4923,5260.3940,7769.4109,214.6757,-29.5092,244.1849,70.8382,59.8415
2019-04-27,5315.00000000,5342.50000000,5257.67000000,5295.69000000,15422.89693500,15422.89693500,4601.9186,5158.8893,61.1780,5015.7128,5267.7300,7787.9013,201.4327,-34.2017,235.6344,60.7045,52.5829
2019-04-28,5295.69000000,5340.00000000,5259.48000000,5307.52000000,14371.43386900,14371.43386900,4629.2082,5173.0446,61.5926,5021.0404,5275.5953,7821.1450,189.7053,-36.7433,226.4486,55.7194,54.7338
2019-04-29,5309.81000000,5332.00000000,5178.80000000,5238.14000000,19918.13507900,19918.13507900,4655.6346,5179.2442,57.7010,5024.5090,5276.5168,7796.5949,172.8207,-42.9023,215.7230,52.1586,49.1592
2019-04-30,5238.14000000,5339.98000000,5192.15000000,5320.81000000,22238.06823000,22238.06823000,4684.6186,5192.7266,60.8733,5032.0746,5284.8919,7813.0653,164.2173,-41.2046,205.4219,49.9901,46.0774
2019-05-01,5321.94000000,5402.00000000,5316.20000000,5383.20000000,17217.47321600,17217.47321600,4714.6280,5210.8670,63.1211,5058.9035,5299.1491,7701.6051,160.5823,-35.8716,196.4540,47.2672,46.5650
2019-05-02,5383.20000000,5538.00000000,5370.00000000,5492.87000000,22795.78783500,22795.78783500,4747.1654,5237.7244,66.7385,5079.0917,5322.1090,7752.2823,164.6530,-25.4408,190.0938,50.7576,59.6305
2019-05-03,5494.81000000,5844.00000000,5477.57000000,5772.69000000,46297.17284900,46297.17284900,4785.0768,5288.6735,73.8000,5064.5989,5369.6000,8419.6113,188.2877,-1.4448,189.7326,60.4366,75.1144
2019-05-04,5770.62000000,5900.00000000,5587.45000000,5829.45000000,39682.40899100,39682.40899100,4823.1906,5340.1760,74.9612,5050.7710,5419.0327,9101.6496,209.1871,15.5636,193.6235,73.8079,86.6789
2019-05-05,5829.83000000,5839.90000000,5696.00000000,5775.62000000,23822.54377500,23822.54377500,4858.5834,5381.6469,71.7149,5077.2774,5460.0141,9287.3808,218.8832,20.2078,198.6754,83.4825,88.6541
2019-05-06,5773.18000000,5805.00000000,5619.14000000,5747.79000000,25256.59632500,25256.59632500,4893.9164,5416.5176,70.0265,5093.4211,5494.7704,9508.2640,221.7654,18.4720,203.2934,86.9442,85.4996
2019-05-07,5749.92000000,6028.41000000,5747.74000000,5846.34000000,39905.06442200,39905.06442200,4931.0870,5457.4531,72.4959,5104.8617,5536.1788,9849.3498,229.3579,20.8516,208.5063,85.3497,81.8954
2019-05-08,5846.34000000,6014.72000000,5772.20000000,5987.29000000,23074.05152000,23074.05152000,4970.5222,5507.9138,75.5931,5105.2999,5587.9466,10414.4134,243.9365,28.3441,215.5923,84.3355,85.6114
2019-05-09,5986.66000000,6224.55000000,5983.71000000,6209.18000000,27453.01143600,27453.01143600,5013.8450,5574.7010,79.5057,5091.3437,5657.3761,11317.7001,270.2792,43.7495,226.5297,86.3314,91.4874
